Frame,Blur,Brightness,Contrast,Sharpness,Noise,Width,Height
motion_0163.jpg,2510.35,85.28,58.75,117.77,50.1,320,240
motion_0164.jpg,2511.5,85.0,58.66,117.74,50.11,320,240
motion_0165.jpg,2508.25,84.84,58.62,117.4,50.08,320,240
motion_0166.jpg,2502.76,85.09,58.89,117.29,50.03,320,240
motion_0167.jpg,2488.02,85.56,59.01,116.82,49.88,320,240
motion_0168.jpg,2481.2,85.78,58.97,116.93,49.81,320,240
motion_0169.jpg,2472.93,85.78,58.81,116.2,49.73,320,240
motion_0170.jpg,2471.33,85.74,58.9,116.15,49.71,320,240
motion_0171.jpg,2458.62,85.81,59.03,116.02,49.58,320,240
motion_0172.jpg,2462.92,85.63,58.75,115.75,49.63,320,240
motion_0173.jpg,2437.05,85.23,58.48,115.82,49.37,320,240
motion_0174.jpg,2437.64,84.63,58.21,115.2,49.37,320,240
motion_0175.jpg,2444.85,84.57,58.23,115.42,49.45,320,240
motion_0176.jpg,2440.21,84.45,58.14,115.28,49.4,320,240
motion_0177.jpg,2436.8,84.12,57.85,115.3,49.36,320,240
motion_0178.jpg,2442.91,84.15,57.64,115.56,49.43,320,240
motion_0179.jpg,2446.53,84.08,57.54,115.69,49.46,320,240
motion_0180.jpg,2463.65,84.33,57.46,116.06,49.64,320,240
motion_0181.jpg,2464.99,84.19,57.39,116.2,49.65,320,240
motion_0182.jpg,2471.87,84.18,57.34,116.5,49.72,320,240
motion_0183.jpg,2468.69,84.05,57.19,116.47,49.69,320,240
motion_0184.jpg,2472.69,83.96,57.18,116.54,49.73,320,240
motion_0185.jpg,2474.57,83.88,57.12,116.48,49.75,320,240
motion_0186.jpg,2516.27,84.61,57.38,117.14,50.16,320,240
motion_0187.jpg,2523.75,85.5,57.4,117.41,50.24,320,240
motion_0188.jpg,2532.05,85.26,57.33,117.76,50.32,320,240
motion_0189.jpg,2533.03,85.16,57.37,117.88,50.33,320,240
motion_0190.jpg,2532.39,85.19,57.4,117.89,50.32,320,240
motion_0191.jpg,2548.08,85.37,57.58,118.35,50.48,320,240
